TRBV,total,Th1 Mem,Th2/Tfh,Th17,Tregs
TRBV20-1,1577,618,297,481,181
TRBV5-1,1344,511,239,385,209
TRBV7-2,1105,450,174,346,135
TRBV2,760,304,145,229,82
TRBV28,626,239,76,217,94
TRBV7-9,625,218,128,190,89
TRBV3-1,588,231,110,157,90
TRBV19,578,213,110,167,88
TRBV6-5,537,211,92,167,67
TRBV9,537,184,139,149,65
TRBV6-1,465,154,115,123,73
TRBV30,441,177,61,146,57
TRBV12-3,422,181,73,126,42
TRBV27,403,155,95,99,54
TRBV29-1,379,121,92,122,44
TRBV11-2,378,156,67,102,53
TRBV18,373,120,71,122,60
TRBV5-4,370,142,64,122,42
TRBV6-2,370,128,58,130,54
TRBV12-4,313,108,35,120,50
TRBV7-3,303,122,41,103,37
TRBV6-6,292,109,48,83,52
TRBV5-6,289,98,60,80,51
TRBV7-8,268,89,64,84,31
TRBV10-3,241,88,53,68,32
TRBV4-2,208,95,52,43,18
TRBV4-3,204,74,23,80,27
TRBV4-1,202,71,49,58,24
TRBV5-5,186,68,41,56,21
TRBV24-1,136,41,16,48,31
TRBV14,132,50,29,35,18
TRBV7-6,121,41,27,36,17
TRBV15,109,36,23,30,20
TRBV25-1,97,40,14,32,11
TRBV11-3,87,37,12,29,9
TRBV7-7,76,19,9,38,10
TRBV10-2,73,25,16,26,6
TRBV5-8,65,29,11,20,5
TRBV6-4,56,23,5,22,6
TRBV13,54,20,12,17,5
TRBV11-1,53,16,12,19,6
TRBV12-5,45,14,12,14,5
TRBV10-1,44,11,16,12,5
TRBV21-1,44,18,9,13,4
TRBV23-1,20,8,9,2,1
TRBV16,16,4,1,9,2
TRBV7-4,16,5,2,7,2
TRBV3-2,15,7,0,7,1
TRBV6-7,4,1,0,2,1
TRBV6-9,4,2,1,1,0
TRBV1,3,2,1,0,0
TRBV5-3,2,0,1,1,0
TRBV12-1,1,1,0,0,0
TRBV12-2,1,0,1,0,0
TRBV5-7,1,0,0,1,0
TRBV6-8,1,1,0,0,0
